日期,流程,端,包名,实际调用BVN/NIN人数,BVN调用人数,NIN调用人数,仅调用BVN人数,仅调用NIN人数,同时调用BVN和NIN人数,未调用BVN/NIN人数,BVN通过人数,BVN失败人数,NIN通过人数,NIN失败人数,请求人脸识别人数,请求人脸识别次数,最终人脸识别成功人数,最终人脸识别失败人数,人脸识别历史失败总次数,当前保留-人像不匹配次数,当前保留-请求接口失败次数,当前保留-三方接口错误次数,当前保留失败原因次数,成功后被清除的失败原因次数,最终成功用户的历史失败次数,非成功用户异常差值,每日触发人数
2026-08-13,主动填写,H5,com.wajegame.web,381,220,233,148,161,72,431,118,102,168,65,116,376,50,29,138,115,0,7,122,16,16,0,
2026-08-13,提现触发,App,com.hfhy.waje.special,887,394,639,248,493,146,165,252,142,539,100,667,1626,487,79,391,264,0,2,266,125,125,0,1052.0
2026-08-13,提现触发,H5,com.wajegame.web,405,225,287,118,180,107,66,112,113,233,54,332,936,238,36,260,121,53,6,180,80,80,0,471.0
2026-08-14,主动填写,App,com.hfhy.waje.special,406,180,274,132,226,48,1071,87,93,198,76,185,483,83,41,187,139,0,4,143,44,44,0,
2026-08-14,主动填写,H5,com.wajegame.web,275,135,185,90,140,45,381,63,72,144,41,104,379,45,25,128,99,0,3,102,26,26,0,
2026-08-14,提现触发,App,com.hfhy.waje.special,904,415,617,287,489,128,157,297,118,546,71,708,1672,511,72,390,251,0,1,252,138,138,0,1061.0
2026-08-14,提现触发,H5,com.wajegame.web,339,176,233,106,163,70,61,92,84,203,30,293,832,191,37,215,153,1,3,157,58,58,0,400.0
2026-08-15,主动填写,App,com.hfhy.waje.special,396,186,253,143,210,43,1065,109,77,181,72,213,551,83,57,200,164,0,1,165,35,35,0,
2026-08-15,主动填写,H5,com.wajegame.web,258,131,179,79,127,52,325,56,75,139,40,87,249,39,20,84,63,0,0,63,21,21,0,
2026-08-15,提现触发,App,com.hfhy.waje.special,893,404,630,263,489,141,138,277,127,551,79,685,1680,489,74,406,237,8,12,257,149,149,0,1031.0
2026-08-15,提现触发,H5,com.wajegame.web,277,158,186,91,119,67,50,89,69,154,32,235,745,162,29,160,110,0,1,111,49,49,0,327.0
2026-08-16,主动填写,App,com.hfhy.waje.special,384,176,255,129,208,47,1029,103,73,182,73,189,515,73,44,179,154,0,3,157,22,22,0,
2026-08-16,主动填写,H5,com.wajegame.web,253,128,175,78,125,50,289,60,68,129,46,78,233,40,15,71,48,0,0,48,23,23,0,
2026-08-16,提现触发,App,com.hfhy.waje.special,875,393,598,277,482,116,136,287,106,533,65,668,1603,490,74,393,252,0,11,263,130,130,0,1011.0
2026-08-16,提现触发,H5,com.wajegame.web,264,128,193,71,136,57,42,71,57,154,39,222,662,152,31,157,118,0,1,119,38,38,0,306.0
